City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,22.99,93,70,3.63,US,1701450014
1,isafjordur,66.0755,-23.124,-0.98,69,75,3.6,IS,1701450015
2,uturoa,-16.7333,-151.4333,27.12,81,49,8.23,PF,1701450016
3,waitangi,-43.9535,-176.5597,10.46,62,87,5.0,NZ,1701450019
4,adamstown,-25.066,-130.1015,21.49,73,8,4.12,PN,1701450026
5,cidreira,-30.1811,-50.2056,24.35,79,45,6.14,BR,1701450026
6,port-aux-francais,-49.35,70.2167,2.4,76,73,9.67,TF,1701450027
7,kodiak,57.79,-152.4072,2.73,93,100,4.12,US,1701450027
8,puerto lempira,15.2667,-83.7667,30.08,84,20,0.0,HN,1701450027
9,rikaze,29.25,88.8833,-1.51,42,2,1.88,CN,1701450027
10,alo,7.4178,6.7371,31.77,41,60,1.21,NG,1701450028
11,rongelap,11.1635,166.8941,27.5,76,67,8.47,MH,1701450028
12,as sulayyil,20.4607,45.5779,24.14,30,7,4.28,SA,1701450028
13,saudarkrokur,65.7461,-19.6394,-3.85,83,62,1.9,IS,1701450028
14,cabo san lucas,22.8909,-109.9124,24.73,54,0,1.79,MX,1701449765
15,ilulissat,69.2167,-51.1,2.01,48,20,8.23,GL,1701450029
16,yaren,-0.5472,166.916,28.65,75,97,5.29,NR,1701450029
17,crespo,-32.0287,-60.3066,35.84,45,34,7.84,AR,1701450029
18,shiwan,22.9969,113.0799,16.6,47,17,4.72,CN,1701450029
19,aasiaat,68.7098,-52.8699,-4.72,87,72,3.06,GL,1701450029
20,ridder,50.355,83.5133,-2.1,89,98,3.03,KZ,1701450030
21,northam,51.0333,-4.2167,1.25,74,28,2.27,GB,1701450030
22,ust-nera,64.5667,143.2,-27.18,99,100,1.21,RU,1701450031
23,stanley,54.868,-1.6985,-0.82,96,20,1.03,GB,1701450031
24,namsos,64.4662,11.4957,-8.97,78,0,3.09,NO,1701450033
25,iqaluit,63.7506,-68.5145,-6.15,73,100,10.29,CA,1701450033
26,grabovo,53.3875,45.064,-2.81,88,100,5.12,RU,1701450033
27,al bawiti,28.3492,28.8659,18.13,54,56,3.97,EG,1701450034
28,pokhara,28.2333,83.9833,15.25,38,26,2.91,NP,1701450035
29,leua,48.2156,18.6071,1.6,100,100,1.9,SK,1701450037
30,estes park,40.3772,-105.5217,-1.29,63,100,3.58,US,1701449925
31,westport,41.1415,-73.3579,11.06,65,0,2.06,US,1701449749
32,puerto natales,-51.7236,-72.4875,7.25,61,20,10.8,CL,1701450038
33,albany,42.6001,-73.9662,10.4,60,100,2.05,US,1701449826
34,guane,22.2025,-84.0875,29.58,59,45,5.51,CU,1701450040
35,becej,45.6163,20.0333,17.63,50,100,7.32,RS,1701450040
36,emerald,-23.5333,148.1667,21.86,91,80,2.81,AU,1701449866
37,longyearbyen,78.2186,15.6401,-11.09,67,0,9.77,SJ,1701450040
38,hotan,37.0997,79.9269,2.7,35,100,1.27,CN,1701450040
39,ghadamis,30.1337,9.5007,21.09,16,67,2.65,LY,1701450042
40,ushuaia,-54.8,-68.3,9.81,34,40,3.09,AR,1701449955
41,grytviken,-54.2811,-36.5092,5.53,63,28,5.85,GS,1701450043
42,otacilio costa,-27.4831,-50.1219,32.34,40,81,1.34,BR,1701450043
43,ghat,24.9647,10.1728,22.67,11,0,2.15,LY,1701450043
44,pyinmana,19.7333,96.2167,21.79,82,97,2.01,MM,1701450043
45,shingu,33.7333,135.9833,4.71,81,6,3.56,JP,1701450044
46,port elizabeth,-33.918,25.5701,21.72,84,20,12.86,ZA,1701450044
47,yellowknife,62.456,-114.3525,-21.36,93,20,3.09,CA,1701450044
48,la passe,45.5549,-0.8967,7.13,91,100,4.41,FR,1701450044
49,iskateley,67.6803,53.1512,-9.43,98,100,1.79,RU,1701450045
50,zarghun shahr,32.8473,68.4457,4.12,43,0,2.18,AF,1701450046
